epoch,acc,loss,val_acc,val_loss
0,0.168495906403,2.75359965229,0.268213458515,2.40386864495
1,0.39171433106,2.05342787571,0.364733179595,2.09143146637
2,0.681094449931,1.06480089661,0.364733181911,2.31372606957
3,0.913433291229,0.305528073043,0.37633410881,2.8704192372
4,0.965991646415,0.11941157826,0.368445476945,3.51706023635
5,0.977121652232,0.0780126699295,0.367981439538,3.82026848294
6,0.983304989432,0.0535348995553,0.3842227386,3.93981199264
7,0.984232489855,0.0627752375327,0.366125292264,3.77809386351
8,0.988406242405,0.0453566832953,0.36890951366,4.21555792024
9,0.987633325232,0.0491451066295,0.375406032407,4.12990902468
10,0.991034160793,0.0403337254725,0.368909515561,4.26361652671
11,0.989179159578,0.0356553908584,0.364269143053,4.21523312412
12,0.986705824625,0.0495725160966,0.351276102828,4.31737537596
13,0.990106660186,0.0349888363044,0.365197217658,4.09247520851
14,0.995826247312,0.0180303257562,0.373085848347,4.09998506713
15,0.994898746843,0.0210788882369,0.372157774572,4.09027650519
16,0.995517080397,0.0170467473941,0.374013922676,4.10052227164
17,0.9959808307,0.0171365901922,0.375406033617,4.15672357568
18,0.996135414135,0.0150560428182,0.376334109225,4.15305480273
19,0.996908331308,0.0134194719537,0.379582368926,4.20515307602
