epoch,acc,loss,val_acc,val_loss
0,0.13371463905,2.84112700806,0.143918291551,2.68076614174
1,0.153501313959,2.71765003151,0.139275766017,2.68955292852
2,0.154583397745,2.67768488322,0.16713091922,2.65946983428
3,0.155820064925,2.64985100271,0.174094707521,2.634172241
4,0.174988406247,2.6315466789,0.175951717734,2.58793448029
5,0.178698407791,2.59636873107,0.1643454039,2.63687351576
6,0.197248415522,2.54654603908,0.216341689879,2.51848727481
7,0.227083011289,2.46947937783,0.22469823584,2.46911723191
8,0.249497603962,2.39689366094,0.262766945218,2.39981360068
9,0.275003864587,2.30094489493,0.243732590536,2.42895244246
10,0.311485546457,2.1854054347,0.279944289701,2.29132428563
11,0.335909723298,2.07793670892,0.304549675037,2.25210245627
12,0.378883907871,1.95537227095,0.311977715933,2.25661419273
13,0.426650177773,1.80303890885,0.323119777214,2.30786262581
14,0.478281032617,1.64634006759,0.322655524661,2.47136332929
15,0.530684804457,1.48600679029,0.321727019512,2.38480680168
16,0.5755139898,1.30938226872,0.317548746532,2.49410397539
17,0.639666099879,1.13668689947,0.309192200612,2.92706878526
18,0.68897820375,0.970748865157,0.316620241425,2.992591285
19,0.732416138507,0.827550365304,0.314298978658,3.29765737511
20,0.773380738909,0.719433136417,0.312441968486,3.46549910158
21,0.797495748975,0.637201905619,0.311049210826,3.57083147991
